,w0,w1,w2,median,mean
68,darky,wheft,bilos,4.0,8.112
69,darky,wheft,mucin,5.0,11.791
70,fetus,coran,whilk,4.0,7.094
71,dryth,wicks,amble,4.0,7.866
72,junky,getic,volar,6.0,13.079
73,tucks,ephoi,angry,4.0,9.702
74,dryth,fogas,punce,3.5,7.51
75,wudge,chits,volar,3.0,6.833
76,fungo,deriv,shawm,6.0,13.111
77,wrong,mucid,belay,4.0,9.611
78,whing,lucky,taros,3.0,7.505
79,jocum,skiwy,regna,7.0,14.077
80,prunt,loges,chiam,3.0,5.349
81,grosz,meath,junky,7.0,15.188
82,extol,graph,mucin,5.0,11.261
83,rinka,wogul,vetch,5.0,12.229
84,browd,mujik,leany,6.0,14.209
85,zohak,wring,sumpt,6.0,14.8
86,tirls,gopak,funje,4.0,7.49
87,lanch,trows,mixup,5.0,9.377
88,fitly,bocks,rhamn,3.0,7.847
89,woken,ampul,girth,4.0,8.58
90,track,wised,jough,6.0,11.659
91,funks,ochry,glave,5.0,12.723
92,comby,kingu,haled,5.0,11.677
93,lupin,begad,whort,4.0,8.819
94,venal,howks,rutic,4.0,7.621
95,pleck,dioxy,rhamn,5.0,13.676
96,milky,crowd,bagne,4.0,8.796
97,cumal,whort,vised,4.0,7.639
98,wyled,funks,carom,4.0,7.823
99,aknow,trudy,belch,5.0,10.329
100,topsl,ahmed,cuing,3.0,6.068
101,ampul,envoy,chits,4.0,10.01
102,kinah,dulse,frowy,5.0,10.124
103,quack,herbs,filmy,6.0,14.819
104,skime,dungy,corta,3.0,5.907
105,kingu,wheft,scrab,5.0,11.847
106,dumby,pisco,whang,6.0,15.733
107,chego,albyn,durst,3.0,7.216
108,depth,mucin,frowy,5.0,13.208
109,flump,bidet,nowch,7.0,13.973
110,skiwy,dargo,belch,4.0,8.511
111,buret,fains,hocky,3.0,7.228
112,spung,whelm,vitra,4.0,9.971
113,dungy,swift,belch,5.0,12.478
114,bandi,clove,thurm,4.0,8.068
115,updry,hoven,laics,4.0,6.819
116,slorp,fique,cawky,6.0,14.051
117,whort,dives,namby,4.0,7.814
118,zinky,graph,foxed,9.0,25.59
119,bhuts,dolce,fakir,3.0,5.979
120,crile,dujan,stomp,3.0,5.475
121,nexus,whirl,fagot,5.0,9.586
122,spial,orkey,mutch,3.0,7.209
123,flump,wicks,brave,6.0,14.9
124,xylia,sumpt,jowed,7.0,15.668
125,dumby,spret,loxic,4.0,8.391
126,crowd,kemps,tigua,4.0,7.477
127,zygon,limbs,tawer,5.0,8.315
128,gilpy,woman,cured,4.0,7.944
129,linge,jacks,dompt,4.0,6.858
130,cuing,volte,brahm,4.0,8.832
131,shier,falun,dompt,3.0,4.941
132,budge,hyrax,insol,5.0,10.612
133,wicks,rough,leany,4.0,8.368
134,shute,gilpy,ancor,3.0,5.174
135,bhuts,vapid,frowy,6.0,13.09
136,bunty,droil,faces,3.0,5.268
137,twiny,brahm,ploce,4.0,8.939
138,jocum,bring,hylas,5.0,10.686
139,vairy,lunch,fodge,5.0,11.188
140,algum,bidet,pocky,4.0,11.007
141,whalp,sneck,xyrid,6.0,13.179
142,rotes,whilk,cujam,5.0,9.357
143,gnats,poire,lucky,3.0,6.101
144,sixte,algum,pocky,5.0,10.652
145,oxter,lucky,sabzi,6.0,11.506
146,comby,vapid,wheft,9.0,19.719
147,quags,inorb,vetch,6.0,12.564
148,fitly,vomer,dujan,6.0,12.741
149,sangh,flory,mixup,5.0,12.445
150,vetch,arzun,bilos,4.0,7.738
151,limpy,buret,swank,3.0,6.231
152,night,ampul,scrod,3.0,6.361
153,whaur,pocky,idest,5.0,12.132
154,chego,radix,funks,6.0,13.363
155,plomb,nerts,cawky,3.0,6.146
156,gapes,lunch,xyrid,4.0,7.734
157,flegm,acoin,durst,3.0,7.099
158,topsl,admix,bunce,4.0,7.82
159,milky,crowd,fetus,4.0,7.819
160,grosz,clink,featy,5.0,10.126
161,phren,tacks,filmy,3.0,5.788
162,coypu,whang,disme,5.0,12.061
163,duvet,nowch,sabzi,6.0,12.845
164,wudge,limns,ochry,4.0,9.031
165,ganch,fixup,smolt,5.0,12.659
166,buret,hocky,anils,3.0,5.417
167,shola,grewt,fixup,6.0,13.043
168,khmer,dujan,potsy,4.0,9.885
169,jimbo,quags,perty,5.5,13.898
170,junky,tombs,perla,4.0,8.428
171,boral,upget,chins,3.0,4.69
172,dungy,whilk,praos,4.0,9.389
173,omits,leaky,runch,3.0,6.16
174,wudge,mincy,tarok,4.0,8.579
175,crowd,funks,elymi,5.5,11.965
176,whang,slurb,dompt,4.5,9.327
177,aglow,sneck,xyrid,5.5,10.597
178,cumal,brigs,hoked,3.0,6.605
179,twang,chums,flype,5.0,13.238
180,grosz,dumby,whalp,8.0,21.917
181,dolce,quips,twang,4.0,8.923
182,algum,drops,tyche,3.0,7.15
183,whalp,kudos,nizey,6.0,12.713
184,lythe,corks,mixup,4.0,10.565
185,carks,flype,mowth,5.0,10.312
186,slonk,admix,upget,5.0,9.611
187,bilge,cawky,thurm,5.0,11.338
188,necks,bigha,dompt,4.0,8.041
189,hound,apter,glisk,3.0,6.124
190,whort,filmy,baske,4.0,8.296
191,lowth,punce,girba,3.0,7.621
192,drame,lucky,swift,4.0,8.798
193,zohak,stump,rejig,7.0,15.848
194,crowd,fitly,amens,4.0,6.949
195,quack,whirl,tombs,6.0,13.757
196,adzer,butch,limns,3.0,6.423
197,decyl,sumpt,brian,3.0,4.907
198,fixup,tayer,locks,5.0,9.202
199,grewt,hocky,alifs,5.0,11.041
200,coven,filmy,swart,4.0,7.038
201,poult,admix,shewn,5.0,10.926
202,goran,filmy,vetch,4.0,10.304
203,mason,thewy,lupid,4.0,8.241
204,flump,tabor,nizey,6.0,11.071
205,pocky,media,slurb,3.0,7.795
206,ligan,dumby,vetch,5.0,12.394
207,whang,cetid,slurb,3.0,6.397
208,bilge,pucka,horny,4.0,9.202
209,prowl,mucin,hefts,4.0,7.899
210,lunka,xyrid,mowth,6.0,15.193
211,whing,flare,tombs,4.0,7.617
212,pleck,bandi,rough,5.0,10.481
213,whisk,loped,tanzy,5.0,10.17
214,mover,cylix,bantu,5.0,9.759
215,crowd,gibel,pansy,3.0,7.035
216,agley,foist,runch,3.0,6.351
217,dungy,spira,belch,3.0,6.85
218,lythe,goran,mixup,5.0,9.82
219,comby,faute,windz,7.0,15.172
220,bogus,venta,xyrid,5.0,10.777
221,updry,token,alifs,3.0,5.707
222,jimbo,wurly,death,6.0,12.943
223,windz,lucky,ofter,8.0,17.975
224,molpe,ritsu,fancy,3.0,5.335
225,balks,cuing,frowy,5.0,10.482
226,crowd,junky,false,6.0,12.227
227,tamis,dungy,hovel,3.0,6.788
228,sixte,whang,lucky,6.0,14.075
229,dumby,jacks,hovel,7.0,16.425
230,kingu,reals,dompt,3.0,4.852
231,escot,zinky,pharm,5.0,11.822
232,crowd,fetas,gilpy,3.0,6.872
233,noter,cumal,whisk,3.0,6.54
234,bogus,andre,filmy,3.0,8.124
235,crowd,fains,letup,3.0,5.391
236,algum,dryth,foins,3.0,7.365
237,hajib,wurly,sneck,5.0,11.67
238,aloud,typer,chins,2.0,4.666
239,dryth,wicks,almon,4.0,7.521
240,adrop,mutch,bikes,3.0,6.346
241,dumby,topsl,areic,3.0,6.934
242,howks,mincy,burez,5.0,12.474
243,pucka,dover,whils,4.0,9.819
244,sowte,gilpy,brand,3.0,6.324
245,omits,cured,whang,3.0,6.626
246,flegm,bocks,hyrax,6.5,16.676
247,xylia,funks,jowed,8.0,19.3
248,vouch,tread,limns,3.0,5.795
249,fogas,windz,lucky,7.0,18.62
250,milky,ponga,cebur,4.0,9.925
251,slonk,vapid,wefty,4.0,9.919
252,venal,hocky,durst,4.0,7.323
253,zinky,lotus,waxer,5.0,9.122
254,dryth,coven,apism,4.0,7.669
255,junky,fodge,whiba,11.0,30.576
256,bunty,jacks,felid,5.0,9.741
257,admix,flory,spung,6.0,15.023
258,coper,bhuts,lamin,2.0,4.396
259,budge,whisk,ancor,4.0,11.083
260,hylas,mount,rejig,4.0,7.074
261,escot,dungy,armil,3.0,7.385
262,ranis,wheft,pocky,4.0,9.257
263,adzer,mutch,glisk,4.0,9.655
264,pisay,foxed,runch,5.0,10.932
265,falun,sired,mowth,3.0,5.044
266,flump,gnaws,tyche,6.0,14.401
267,gaums,holey,kvint,4.0,7.63
268,sowte,dungy,hibla,4.0,7.983
269,stump,boral,index,4.0,6.894
270,perty,jacks,vouli,5.0,9.595
271,lythe,mujik,brand,5.0,10.331
272,world,aking,setup,3.0,5.95
273,jough,windz,mater,7.0,17.148
274,zinky,aglow,sprue,5.0,10.167
275,aspic,budge,lowth,5.0,9.8
276,speil,mutch,frowy,4.0,11.95
277,frise,hocky,bantu,4.0,8.442
278,tsked,argon,mixup,4.0,9.88
279,sawer,zygon,fixup,9.0,18.981
280,dungy,topsl,harbi,3.0,6.676
281,sangh,browd,tulip,4.0,6.683
282,eyras,nowch,mujik,6.0,13.489
283,wurly,taino,kemps,3.0,5.71
284,milky,grots,chape,3.0,6.289
285,dungy,toric,whale,4.0,7.987
286,algum,twiny,corks,4.0,7.237
287,argol,sidth,funje,4.0,8.171
288,aknow,trudy,flies,4.0,7.636
289,darky,zeins,mowth,4.0,7.822
290,milky,bantu,dowve,5.0,10.977
291,slonk,admix,wheft,6.0,14.347
292,horny,mujik,glave,6.0,15.989
293,zinky,dover,hauls,5.0,8.998
294,torch,gibel,juyas,4.0,8.114
295,coiny,whaur,kemps,4.0,9.876
296,grewt,pahos,junky,5.0,12.93
297,braze,lucky,wonts,5.0,9.736
298,ducat,slonk,vergi,4.0,6.777
299,upget,ambry,sloid,3.5,6.53
300,fitly,wrong,aevum,5.0,12.791
301,radix,howks,upget,5.5,11.491
302,mucid,north,belay,3.0,6.511
303,mutch,warly,ejido,6.0,12.923
304,jocum,tirls,bagne,3.0,5.775
305,pocky,vergi,shawm,6.0,14.511
306,ahold,wefty,mujik,10.0,20.58
307,chazy,fetus,wrong,6.0,13.139
308,agnus,ophic,wefty,6.0,13.556
309,pleck,unbit,frowy,7.0,16.468
310,crowd,maine,bhuts,3.0,5.668
311,flipe,agnus,hocky,5.0,10.88
312,zinky,corta,whelm,5.0,12.383
313,swile,routh,namby,3.0,5.634
314,funks,waltz,voder,6.0,11.152
315,axled,omits,junky,5.5,11.191
316,whelk,young,vitra,6.0,13.694
317,flegm,sabzi,ochry,6.0,13.605
318,ileum,hocky,swart,4.0,9.781
319,drisk,boule,whang,4.0,8.805
320,comby,squet,liard,3.0,6.86
321,foist,lunch,ambry,4.0,8.13
322,cupay,robed,winks,4.0,8.102
323,tibey,onlap,chums,3.0,6.819
324,amort,whilk,bunce,4.0,9.886
325,denim,cawky,vogul,6.0,15.236
326,flump,waget,bocks,5.0,10.86
327,twank,jough,blier,5.0,11.787
328,narks,jough,veily,6.0,10.081
329,tagus,dioxy,belch,5.0,9.193
330,fleak,yogic,thurm,6.0,13.681
331,browd,penta,chums,3.0,7.173
332,flump,trixy,benda,6.0,12.285
333,wishy,fload,burez,6.0,13.386
334,gilpy,trace,kudos,3.0,6.091
335,depth,locks,girba,3.0,5.307
336,mover,fixup,tanzy,10.0,18.869
337,trixy,whelk,dujan,8.0,17.256
338,jimbo,durst,wayne,4.5,8.61
339,tucks,weigh,boral,4.0,7.733
340,flump,zygon,idest,7.0,16.038
341,hibla,young,kemps,5.0,9.948
342,robed,gaums,whilk,4.0,7.917
343,xylem,arzun,swift,7.0,12.63
344,jimbo,decyl,arzun,6.0,15.782
345,flump,kiang,sword,5.0,11.7
346,twank,shore,lupid,3.0,6.264
347,jimbo,quack,spyer,9.0,18.908
348,whing,mopla,crude,4.0,10.526
349,quica,xylon,kemps,7.0,16.343
350,grosz,fancy,letup,5.0,9.096
351,slonk,upget,xyrid,4.0,8.719
352,fixup,heavy,trows,7.0,17.851
353,depth,wrong,saily,3.0,6.125
354,vouch,twiny,garse,4.0,9.877
355,flump,sorex,night,4.5,9.569
356,junky,aglow,sired,5.0,9.508
357,wheft,xyrid,clubs,6.5,16.105
358,slonk,whaup,bifer,5.0,9.536
359,zygon,vicar,whsle,6.0,13.013
360,zinky,flegm,pahos,6.0,13.683
361,prowl,index,juyas,6.0,13.237
362,coble,whang,sumpt,4.0,9.909
363,zohak,updry,wilts,6.0,12.815
364,quack,gilpy,howes,7.0,19.792
365,limpy,gunda,frets,3.0,6.808
366,ganch,dover,wilts,3.0,6.377
367,necks,tabor,mixup,4.0,8.041
368,hajib,clues,dompt,4.0,8.667
369,vomer,bunty,whisk,5.0,10.418
370,dujan,holey,swift,5.0,10.565
371,cupay,wheft,inorg,6.0,14.954
372,jough,flype,brand,8.0,19.868
373,abide,tucks,horny,3.0,6.591
374,jatni,frowy,clubs,5.0,10.987
375,jocum,whisk,taler,4.0,8.608
376,poult,darky,exing,5.0,9.375
377,flump,brist,cawky,5.0,12.656
378,updry,chego,milks,4.0,9.464
379,stagy,lunch,jowed,5.0,11.227
380,puris,nowch,amble,4.0,6.671
381,depth,quags,clink,5.0,10.174
382,dunts,mohel,girba,3.0,4.969
383,agnus,prowl,bited,3.0,5.782
384,journ,haled,swift,4.0,7.433
385,glans,butch,xyrid,5.0,9.481
386,stope,cuing,hyrax,4.0,7.889
387,torch,walks,mixup,5.0,10.813
388,wheft,angor,milks,5.0,8.938
389,xylem,sword,kingu,6.0,12.266
390,howks,inula,gyred,4.0,7.785
391,dumby,taros,ginep,3.0,5.306
392,dioxy,mathe,clubs,4.0,8.736
393,drant,howks,elymi,4.0,7.137
394,flipe,tanzy,scrod,4.0,6.08
395,axled,stump,nowch,5.0,11.574
396,pharm,clove,swift,4.0,10.45
397,darky,betso,mixup,5.0,10.585
398,dumby,flesh,kvint,6.0,16.297
399,xylon,mutch,rebia,5.0,11.245
400,updry,hajib,extol,9.0,17.847
401,chazy,stump,inorg,5.0,13.042
402,howks,bagne,lupid,4.0,8.102
403,updry,acton,flesh,4.0,8.538
404,flipe,tacks,horny,3.0,6.007
405,whing,dumby,oxter,8.0,20.263
406,fecal,wrong,sidth,3.0,6.318
407,avile,chums,frowy,6.0,13.727
408,manet,droyl,whisk,3.0,5.971
409,dumby,toric,whale,4.0,8.38
410,hasky,browd,mixup,7.0,16.992
411,admit,pocky,shewn,4.0,10.334
412,uncow,desyl,thrip,4.0,8.612
413,flipe,jacks,mount,4.0,8.716
414,uncow,bikes,marly,4.0,6.803
415,baske,tulip,ochry,4.0,7.243
416,limbs,unact,fodge,3.0,7.095
417,aknow,thurm,veily,5.0,10.96
418,grosz,muley,kvint,5.0,10.697
419,lochs,drame,unbit,2.0,4.883
420,flory,butch,jeans,4.0,9.805
421,crowd,limpy,gesan,3.0,7.53
422,lucky,azons,imper,5.0,9.256
423,zygon,lucre,vapid,6.0,13.684
424,dumby,rotes,alvin,3.0,5.835
425,dungy,aswim,ploce,4.0,11.786
426,gilpy,vetch,arzun,6.0,13.046
427,tahil,spung,dowve,4.0,8.834
428,molpe,brand,swift,3.0,6.273
429,uredo,gilpy,jacks,5.0,10.384
430,dumby,lochs,kvint,6.0,13.178
431,trixy,enoch,aldus,4.0,7.399
432,stump,yerga,windz,5.0,11.347
433,unbed,aclys,girth,3.0,5.67
434,sabik,clove,thurm,3.0,7.346
435,rumex,washy,kvint,7.0,13.452
436,zohak,exing,clubs,7.0,19.798
437,xylia,wonts,crude,4.0,6.601
438,zinky,poled,cujam,7.0,18.421
439,dowie,albyn,sumpt,3.0,6.974
440,grank,mucid,flesh,4.0,9.813
441,jocum,senal,girth,3.0,6.579
442,chego,squid,tanzy,7.5,15.878
443,decyl,fains,jough,5.0,10.919
444,linha,corks,wefty,4.0,8.03
445,spung,droil,thewy,4.0,8.634
446,hynde,puris,vocat,3.0,6.569
447,trixy,nowch,lames,4.0,6.774
448,rough,cawky,stile,4.0,7.923
449,arvos,flipe,butch,4.0,9.295
450,stump,leaky,bring,3.0,6.715
451,jimbo,unlet,ascry,4.0,8.009
452,trixy,lunka,medoc,4.0,9.116
453,dumby,alvin,wheft,7.0,17.756
454,zygon,spira,mutch,5.0,12.416
455,junky,orsel,chiam,5.0,9.316
456,lotus,chief,bandy,3.0,6.478
457,vouch,linge,swart,4.0,8.518
458,bedot,whisk,marly,3.0,6.914
459,tepal,howks,cuing,3.0,8.275
460,cupay,lowth,kerns,3.5,7.691
461,unact,whisk,flype,6.0,14.859
462,hocky,upget,limns,4.0,7.677
463,junky,felid,ashot,5.0,11.797
464,bhuts,poled,mincy,3.0,6.256
465,windz,marly,vogue,6.0,14.393
466,robed,wigan,sumpt,3.0,6.278
467,zygon,wicks,haldu,7.0,15.028
468,funks,dioxy,perla,5.0,10.449
469,grosz,mutch,alife,4.0,11.835
470,flump,howks,regna,5.0,10.508
471,tucks,wyled,argon,4.0,6.93
472,flump,jatni,chego,7.0,17.446
473,world,upset,chiam,3.0,6.103
474,budge,kilns,frowy,5.0,11.99
475,dujan,thewy,viols,6.0,13.44
476,nexus,yogic,pharm,5.0,12.008
477,narks,chego,lupid,3.0,6.439
478,bring,whame,sculp,4.0,9.488
479,bocks,flype,tigua,5.0,10.923
480,mutch,bring,walks,5.0,8.624
481,neath,pours,filmy,3.0,6.369
482,budge,skiwy,alcor,4.0,9.324
483,zygon,quips,trace,6.0,13.602
484,hynde,tabor,glisk,3.0,5.928
485,milky,tough,braze,5.0,12.896
486,zinky,tough,lapse,4.0,9.051
487,browd,stale,mincy,3.0,5.379
488,mopla,skied,butch,3.0,6.37
489,dumby,alefs,north,3.0,7.043
490,elops,aking,trudy,4.0,7.405
491,prowl,chins,aevum,4.0,8.15
492,flump,tanzy,vised,5.0,11.919
493,trixy,lochs,begad,4.0,7.544
494,dover,walty,mixup,7.0,14.607
495,squet,vinal,pocky,5.0,10.771
496,xylem,bring,scaut,4.0,7.005
497,funks,avert,dioxy,6.0,12.366
498,angle,mujik,scrod,4.0,7.961
499,fixup,browd,chave,12.0,30.389
500,skiwy,unlet,graph,4.0,7.769
501,bring,clasp,mowth,4.0,9.004
502,updry,wonts,belch,4.0,8.691
503,chold,yeans,mujik,5.0,10.464
504,bidet,spung,arock,3.0,6.52
505,bidet,jough,marly,5.0,9.773
506,thewy,cujam,glisk,6.0,16.263
507,drame,whilk,young,5.0,11.548
508,tucks,admix,owler,4.0,8.294
509,dumby,coven,girth,5.0,11.025
510,flipe,vouch,tanzy,7.0,15.633
511,cupay,howks,linge,5.0,10.93
512,pleck,dryth,woman,5.0,12.047
513,dioxy,thurm,fakes,5.0,10.309
514,bruet,chold,wigan,3.0,7.943
515,bunty,sower,chiam,3.0,6.119
516,jough,typer,limns,4.0,8.86
517,droyl,cites,whang,3.0,6.068
518,aking,poled,chums,3.0,6.877
519,flipe,whams,gront,4.0,7.5
520,tayer,whisk,fungo,5.0,10.286
521,pleck,rough,swift,5.0,12.726
522,sword,butch,angel,4.0,7.021
523,mourn,cawky,sithe,3.0,7.154
524,sangh,cured,mobil,2.0,4.862
525,zinky,vomer,scaut,5.0,9.241
526,axled,stump,chron,3.0,6.678
527,slonk,echar,mixup,5.0,10.618
528,jimbo,neaps,trudy,4.0,8.853
529,dryth,mizen,balow,5.0,9.533
530,plomb,venta,scurf,4.0,7.587
531,seqwl,ponga,rutic,4.0,8.39
532,wudge,harbi,potsy,4.0,8.509
533,mutch,soign,apery,3.0,7.836
534,jocum,apery,vingt,6.0,15.279
535,funks,cylix,abode,6.0,14.187
536,rotes,cumal,windz,3.0,5.935
537,kivas,burez,dompt,5.0,10.196
538,foxed,nacry,milks,4.0,8.341
539,molpe,junky,archt,5.0,10.819
540,prahu,noble,swift,4.0,7.789
541,dumby,koali,shewn,4.0,9.883
542,waget,dumby,loxic,7.0,14.415
543,zygon,jacks,bifer,7.0,17.161
544,lunch,apism,voder,4.0,7.05
545,hasky,fique,clown,7.0,18.477
546,browd,upget,fancy,5.0,11.627
547,vouch,seqwl,brand,7.0,14.215
548,chazy,duvet,slorp,5.0,11.939
549,ganch,boule,tripy,4.0,7.158
550,duvet,wishy,angor,5.0,10.535
551,mutch,weird,azoxy,8.0,21.409
552,flump,cathy,brigs,5.0,10.11
553,sword,haute,cylix,4.0,8.157
554,grise,alkyd,mowth,4.0,8.749
555,zinky,mopla,buret,4.0,8.701
556,grank,chold,wefty,5.0,14.366
557,sabik,decyl,jough,6.0,13.507
558,quags,liken,dompt,4.0,8.1
559,kisan,thurm,dowve,4.0,8.674
560,flegm,adrop,unbit,5.0,10.948
561,drest,ophic,namby,4.0,6.989
562,poult,windz,garse,4.0,6.979
563,vouch,ripes,waltz,4.0,9.572
564,rinka,desyl,mowth,3.0,7.033
565,buret,wands,loxic,3.0,5.666
566,spung,blier,mowth,4.0,7.77
567,senza,yogic,thurm,5.0,9.175
568,azons,xyrid,belch,5.0,9.549
569,torcs,weald,mujik,4.0,7.273
570,jacks,volte,xyrid,6.0,10.552
571,wheft,drona,mixup,7.0,16.563
572,zygon,flare,chits,4.0,9.173
573,stump,linha,gyred,3.0,5.761
574,fogas,thewy,mucin,5.0,11.379
575,alces,dioxy,thurm,4.0,7.357
576,noter,quack,filmy,5.5,11.549
577,coypu,skied,waltz,5.0,10.495
578,yogic,wheft,aldus,6.0,11.651
579,tsked,fungo,chiam,5.0,10.383
580,browd,clink,phase,4.0,9.121
581,lanch,robed,swift,4.0,6.228
582,whaup,corks,veily,5.0,11.275
583,flump,whing,boser,6.0,12.123
584,pleck,quags,windz,8.0,20.817
585,ambry,whilk,fungo,7.0,21.404
586,aclys,piton,burez,3.0,5.696
587,skiwy,burez,dompt,6.0,11.531
588,world,kvint,juyas,6.0,11.454
589,wurly,chief,toads,4.0,6.897
590,whaur,limns,pocky,4.0,10.171
591,poled,jacks,nifty,4.0,8.191
592,wurly,scote,kinah,3.0,6.11
593,agend,whort,sculp,4.0,8.398
594,locks,thewy,arzun,5.0,10.509
595,wurly,monic,gapes,3.0,6.234
596,junky,while,stomp,6.0,15.38
597,milky,crowd,upset,4.0,8.064
598,cumal,bring,jowed,5.0,12.566
599,duvet,pocky,sabzi,7.0,14.106
600,serin,alkyd,butch,3.0,5.565
601,senza,lowth,xyrid,5.0,9.737
602,sneck,mixup,hoary,5.0,11.944
603,bunks,decyl,harim,3.0,6.215
604,maugh,nifty,jowed,9.0,17.762
605,wudge,flory,chiam,5.0,13.459
606,chazy,wudge,piton,6.0,18.51
607,zinky,plomb,avert,6.0,13.394
608,vouch,afret,kilns,3.0,6.531
609,pedro,kilns,cujam,4.0,8.207
610,pleck,dungy,forma,5.0,11.972
611,milky,stope,whang,4.0,9.337
612,stomp,dylan,vergi,3.0,6.403
613,whisk,funje,azoxy,15.0,39.927
614,jocum,nerts,gilpy,4.0,6.965
615,lythe,fungo,apism,4.0,10.986
616,flump,drisk,tanzy,5.0,11.262
617,slonk,mutch,girba,3.0,7.514
618,wring,butch,lakey,5.0,9.562
619,orbic,meath,spung,3.0,7.79
620,milky,afret,spung,3.0,6.731
621,updry,amlet,chino,4.0,6.687
622,chego,kilns,ambry,4.0,7.454
623,dungy,plomb,vetch,7.0,16.956
624,skiwy,dujan,belch,6.0,14.583
625,dives,butch,angry,4.0,7.919
626,fixup,yokes,brahm,8.0,15.436
627,bogus,marid,whelk,4.0,7.459
628,ahint,sorex,lucky,3.0,7.018
629,depth,kilns,azoxy,5.0,11.276
630,upget,chins,volar,3.0,6.073
631,limbs,track,dowve,4.0,7.813
632,ducat,exing,frowy,7.0,17.442
633,dryth,mains,vogue,4.0,6.805
634,unbed,lowth,kivas,5.0,9.764
635,updry,kiang,hosel,4.0,7.434
636,admix,prowl,junky,10.0,25.277
637,mobil,trudy,sneck,4.0,6.894
638,tucks,herby,inoma,3.0,8.831
639,xylem,arist,jough,6.0,12.461
640,wudge,torch,flips,4.0,9.61
641,pours,thewy,vinal,4.0,8.304
642,girba,money,sculp,3.0,6.171
643,maugh,winks,extol,5.0,11.923
644,dives,mount,hyrax,4.0,7.81
645,rough,dives,tanzy,5.0,9.407
646,unbed,trixy,fogas,5.0,10.232
647,plomb,senza,trudy,4.0,7.44
648,denim,alogy,scurf,3.0,7.392
649,dumby,roist,glave,3.0,8.168
650,pleck,tough,mandi,4.0,9.339
651,pleck,irous,bandy,3.0,7.002
652,funks,vetch,loxia,6.0,14.206
653,limpy,vogue,brand,4.0,10.723
654,gyred,kosha,mixup,5.0,13.289
655,lacey,kingu,stomp,4.0,6.698
656,argol,dumby,winks,4.0,10.006
657,caids,north,flype,3.0,5.278
658,flump,weigh,nacry,6.0,13.446
659,winks,omlah,crude,3.0,6.572
660,vomer,gnaws,fixup,8.0,17.083
661,mujik,volte,brand,5.0,10.668
662,zinky,swart,belch,4.0,9.573
663,tripy,kosha,funje,5.0,11.825
664,crowd,stang,elymi,4.0,7.393
665,speil,hocky,brand,4.0,7.689
666,journ,flips,caked,4.0,8.065
667,wilts,ambry,funje,4.0,9.363
